URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://www.saude.gov.br/fhir/r4/CodeSystem/BRAlergenosCBARA,0.1.0,active,,BRAlergenosCBARA,Catálogo Brasileiro de Alergias e Reações Adversas (CBARA),"Classifica as alergias e reações adversas.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBHPMTUSS,0.1.0,active,,BRCBHPMTUSS,Classificação Brasileira Hierarquizada de Procedimentos Médicos - CBHPM e da Terminologia Unificada da Saúde Suplementar - TUSS,"Classificações de procedimentos utilizadas no Brasil, no contexto da assistência à saúde privada, não complementar ao SUS, e eventualmente no SUS para classificar procedimento inexistente na Tabela SUS.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBO,0.1.0,active,,BRCBO,Classificação Brasileira de Ocupações - CBO,"Classifica as profissões do mercado de trabalho brasileiro.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,0.1.0,active,,BRCIAP2,Classificação Internacional de Atenção Primária - Segunda Edição - CIAP2,"Classifica os problemas identificados no contato assistencial pelos profissionais de saúde, os motivos da contato assistencial e as respostas propostas pela equipe seguindo a sistematização SOAP.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCID10,0.1.0,active,,BRCID10,Classificação Internacional de Doenças - Décima Revisão - CID-10,"Classifica as doenças e outros problemas em saúde registrados em diversos tipos de documentos clínicos.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCaraterAtendimento,0.1.0,active,,BRCaraterAtendimento,Caráter de Atendimento,"Terminologia que classifica a prioridade de realização de um Contato Assistencial.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCategoriaDiagnostico,0.1.0,active,,BRCategoriaDiagnostico,Categoria do Diagnóstico,"Códigos para representação do tipo de categoria do diagnóstico realizado.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRFinanciamento,0.1.0,active,,BRFinanciamento,Financiamento,"Terminologia que descreve o agente, instituição ou entidade responsável por custear as ações e serviços de saúde.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRFrequenciaUsoSubstancia,0.1.0,active,,BRFrequenciaUsoSubstancia,Frequência de Uso de Substância,"Identifica a frequência de uso da substância conforme declaração do indivíduo, de acordo com o especificado no modelo de informação do Registro de Atendimento Clínico da Resolução CIT nº 33/2018.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRImunobiologico,0.1.0,active,,BRImunobiologico,Imunobiológico,"Classifica os tipos de imunobiológicos.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRLocalAfericao,0.1.0,active,,BRLocalAfericao,Local de Aferição,"Identifica a parte do corpo utilizada para realizar uma mensuração ou aferição.",
